Timestamp (Removed)	I have read and understand the explanation provided to me, and I voluntarily agree to participate in this study. 	Location	How many employees / workers have access to or use the various lab(s) [BSL-4 / ABSL-4]	How many employees / workers have access to or use the various lab(s) [BSL-3 / ABSL-3]	How many employees / workers have access to or use the various lab(s) [BSL-2 / ABSL-2]	How many employees / workers have access to or use the various lab(s) [Other facilities, (describe below)]	Other comments or details about labs / facilities?	How are laboratory incidents recorded?	What types of incidents are recorded? (Risk-Group=RG)	Who receives the incident reports?	Other comments / notes? (Optional)	What record-keeping requirements exist for each of the following types of incidents? [Exposure to high-consequence pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Exposure to low-risk pathogens]	What record-keeping requirements exist for each of the following types of incidents? [Other exposure or injury]	What record-keeping requirements exist for each of the following types of incidents? [Near-Miss Events]	What type of incident reporting is required for potential exposures? [High-consequence potential exposures]	What type of incident reporting is required for potential exposures? [Other exposure or injury]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [High-risk infections]	What type of incident reporting is required for clinical/public health laboratory acquired infections? [Other exposure or injury]	Is there further dissemination of incident reports?	Is incident data shared outside the entity?	If incident data is not shared, state why not. Mark only one oval.	Other points regarding reporting requirements or practices? (Optional)	Are you aware of non-reporting of exposures involving high-risk pathogens?	What incentives might affect reporting by lab workers?	What disincentives might affect reporting by lab workers?	Other comments regarding nonreporting or incentives? (Optional)	Consent	Do you have other comments about the survey or questions?
	Yes		We have no labs of this type	10-25	26-50	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-4 Pathogens, Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, all injuries, illnesses, near misses	Local or state agency or health authority, Entity Biosafety officer	Reports are also received by 3rd party Worker's Comp	Internal policy only	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	Unsure of requirements	Local government requirement	Local government requirement	Yes	3rd party worker's comp	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	1-10	100	We have no labs of this type	BSL-1 lab scale and large scale (>10 l) activities	Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer	It is difficult to answer the question about reporting based on responses to the question about what is reported. For example, we report all events that result in harm (punctures, bites lacerations). The report goes to the associates supervisor. If the event was not sever, and there is no requirement to report externally, the report will stop there. There are other circumstances where the report will go to the Biosafety Officer or to an external agency.	N/A	Internal policy only	Internal policy only	Internal policy only	Unsure of requirements	No requirements	Unsure of requirements	Unsure of requirements	Yes	we share aggregated reports intenally to gauge health and safety performance	There is no requirement to further disseminate the reports	The series of questions regarding reporting was difficult to answer. Some events must be reported externally, but not due to a high or low consequence agent, instead due to potential for exposure to agents through exposure to human materials (ex. needlestick and blood) or exposure to a genetically modified organism (degree of consequence unknown).	we do not work with high risk pathogens	Lab workers see incident reporting as important for their own safety	reporting procedures have been forgotten due to infrequency of events	none		I'm not sure you will be able to draw accurate conclusions from the survey, based on my experience of the questions and how the selection of potential answers did not accurately describe the situation at my institution.
	Yes	US - United States	We have no labs of this type	We have no labs of this type	100			Intranet or other online reporting system (e.g. Web-based portal or forms), Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management		Internal policy only	Internal policy only	Internal policy only	Internal policy only	No requirements	No requirements	Unsure of requirements	Unsure of requirements	Yes	No. We are a publicly traded company which does not receive NIH funding for any work . We do not share incidents unless there is a public health concern	There is no requirement to further disseminate the reports		Such incidents occurred and corrective action (such as retraining) was taken	A change in our safety culture from punitive to understanding.	Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	10-25	100			Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management	If it is an NIH reportable event e.g., large scale spill, rDNA exposure) then it will be reported to the NIH. If BSL-3 local Department of Health may also be contacted	Legal requirement	Best practice record keeping	Best practice record keeping	Internal policy only	National agency requirement	No requirements	National agency requirement	Unsure of requirements	No	Data is not shared outside	There is no requirement to further disseminate the reports		All potential exposures are reported	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding			
	Yes	US - United States	We have no labs of this type	1-10	100	100	Other = BSL1 (animal only pathogens and toxins)	Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee	When appropriate, reports are made to external agencies, i.e. NIH, CDC, Dept of Health	Legal requirement	Legal requirement	Legal requirement	Internal policy only	National agency requirement	Local government requirement	National agency requirement	Local government requirement	Yes	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports		Such incidents occurred, but no corrective action was needed	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	26-50	100			Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury, Any incident, lab related or not is recorded in the same manner by the same department		Regarding the last question... we report to whichever entity we MUST report to. It there is no reporting requirement based on the type of accident/injury we only report internally, again only to those people who would NEED to know of the accident/injury. 	Legal requirement	Legal requirement	Legal requirement	We do not keep records	National agency requirement	National agency requirement	No requirements	No requirements	Yes	A government agency or other institution publicly publishes aggregate data on incidences, Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	There is no requirement to further disseminate the reports			Reporting is required but we have no way to enforce that	Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	10-25			Specialized software (e.g. commercial software designed for reporting)	Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Entity upper management		N/A	Legal requirement	Legal requirement	Legal requirement	National agency requirement	National agency requirement	National agency requirement	National agency requirement	Yes	The government agency or other institution publishes full incident reports			No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Reporting procedures are complex and time-consuming			
	Yes	US - United States	We have no labs of this type	01/10/20	100	100		Intranet or other online reporting system (e.g. Web-based portal or forms)	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	Entity Biosafety officer, Institutional Biosafety Board or similar dedicated committee, Entity upper management			Legal requirement	Legal requirement	Internal policy only		National agency requirement			Yes				No such exposures have occurred	Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	We have no labs of this type	50-100			(Paper) Incident report forms, handwritten reports, or similar	Potential exposure to RG-2 Pathogens, Laboratory acquired infections	Entity Biosafety officer						National agency requirement	Unsure of requirements	Unsure of requirements	Unsure of requirements	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting is allowed / required, but no incidents have occurred, so there is no dissemination		No such exposures have occurred	Safety monitoring or other processes make non-reporting infeasible, Lab workers see incident reporting as important for their own safety	Concern that reported incidents have a negative impact on research or funding, Reporting procedures are complex and time-consuming, Social Pressure, Perceived threat to employment			
	Yes	US - United States	We have no labs of this type	26-50	100	We have no labs of this type		(Paper) Incident report forms, handwritten reports, or similar, Spreadsheets, written computer-based reports, or similar documentation	Potential exposure to RG-3 Pathogens, Potential exposure to RG-2 Pathogens, Laboratory acquired infections, Other incidents causing human injury	We do not report potential exposures externally, National public health/occupational safety agency	Only those incidents which are mandatory to report are reported externally i.e. those involving select agents or recombinant DNA.	Legal requirement	Best practice record keeping	Best practice record keeping	We do not keep records	National agency requirement	Unsure of requirements	National agency requirement	Unsure of requirements	No	Non-public reports are compiled (e.g. non-public US Select Agent reports are sent to Congress)	Reporting would open the entity up to potential bad press.		There is the potential that workers chose not to report.	Lab workers see incident reporting as important for their own safety, There are legal penalties for non-reporting	Concern that reported incidents have a negative impact on research or funding, Perceived threat to employment			
